,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 1,,,,,,
hGender: What is your gender?,,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,21.68%,26.64%,22.38%,20.78%,27.58%,25.54%
DIRECTV (satellite),464,133,432,202,74,59
,29.50%,12.09%,28.35%,35.88%,12.52%,11.59%
DISH Network (satellite),115,100,115,33,52,48
,7.31%,9.09%,7.55%,5.86%,8.80%,9.43%
Frontier,8,5,8,4,3,2
,0.51%,0.45%,0.52%,0.71%,0.51%,0.39%
Verizon FiOS,97,80,97,41,45,35
,6.17%,7.27%,6.36%,7.28%,7.61%,6.88%
Mediacom (including Earthlink),11,10,11,4,6,4
,0.70%,0.91%,0.72%,0.71%,1.02%,0.79%
Other,92,84,92,23,36,48
,5.85%,7.64%,6.04%,4.09%,6.09%,9.43%
None of the above,17,15,0,6,8,7
,1.08%,1.36%,0.00%,1.07%,1.35%,1.38%
Sigma,1573,1100,1524,563,591,509
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 5,,,,,,
S5: You mentioned that you subscribe to a cable or satellite TV provider. Which of the following do you subscribe to?,,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,3439,2620,1541,1408,1271,1349
Altice/Suddenlink/Cablevision,31,29,31,9,19,10
,0.90%,1.11%,2.01%,0.64%,1.49%,0.74%
Charter/Spectrum,325,289,325,94,148,141
,9.45%,11.03%,21.09%,6.68%,11.64%,10.45%
COX,70,60,70,29,36,24
,2.04%,2.29%,4.54%,2.06%,2.83%,1.78%
CenturyLink/Qwest,2,2,2,1,1,1
,0.06%,0.08%,0.13%,0.07%,0.08%,0.07%
Comcast/Xfinity,341,293,341,117,163,130
,9.92%,11.18%,22.13%,8.31%,12.82%,9.64%
DIRECTV (satellite),464,133,432,202,74,59
,13.49%,5.08%,28.03%,14.35%,5.82%,4.37%
DISH Network (satellite),115,100,115,33,52,48
,3.34%,3.82%,7.46%,2.34%,4.09%,3.56%
Frontier,8,5,8,4,3,2
,0.23%,0.19%,0.52%,0.28%,0.24%,0.15%
Verizon FiOS,97,80,97,41,45,35
,2.82%,3.05%,6.29%,2.91%,3.54%,2.59%
Mediacom (including Earthlink),11,10,11,4,6,4
,0.32%,0.38%,0.71%,0.28%,0.47%,0.30%
Other,92,84,92,23,36,48
,2.68%,3.21%,5.97%,1.63%,2.83%,3.56%
None of the above,17,15,0,6,8,7
,0.49%,0.57%,0.00%,0.43%,0.63%,0.52%
No Answer,1866,1520,17,845,680,840
,54.26%,58.02%,1.10%,60.01%,53.50%,62.27%
Sigma,3439,2620,1541,1408,1271,1349
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 6,,,,,,
Q1: You mentioned that you subscribe to a cable or satellite TV provider. Which of the following do you subscribe to?,,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,2916,2377,1018,885,1122,1255
0 - Not at all Satisfied,26,19,21,4,9,10
,0.89%,0.80%,2.06%,0.45%,0.80%,0.80%
1,18,15,14,4,4,11
,0.62%,0.63%,1.38%,0.45%,0.36%,0.88%
2,28,23,24,4,11,12
,0.96%,0.97%,2.36%,0.45%,0.98%,0.96%
3,34,28,25,8,10,18
,1.17%,1.18%,2.46%,0.90%,0.89%,1.43%
4,48,37,40,9,22,15
,1.65%,1.56%,3.93%,1.02%,1.96%,1.20%
5,122,91,73,48,44,47
,4.18%,3.83%,7.17%,5.42%,3.92%,3.75%
6,153,109,88,70,63,46
,5.25%,4.59%,8.64%,7.91%,5.61%,3.67%
7,325,239,189,141,124,115
,11.15%,10.05%,18.57%,15.93%,11.05%,9.16%
8,429,297,241,187,165,132
,14.71%,12.49%,23.67%,21.13%,14.71%,10.52%
9,281,198,141,142,101,97
,9.64%,8.33%,13.85%,16.05%,9.00%,7.73%
10,420,289,162,268,125,164
,14.40%,12.16%,15.91%,30.28%,11.14%,13.07%
No Answer,1032,1032,0,0,444,588
,35.39%,43.42%,,,39.57%,46.85%
Sigma,2916,2377,1018,885,1122,1255
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
