,3.68%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",51
,4.37%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",33
,2.83%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",54
,4.63%
"The policy covers various situations beyond collision (e.g., a fire, theft)",67
,5.74%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,33
,2.83%
The policy covers the cost if you are in an accident while using a phone,16
,1.37%
The policy covers the cost if you are in an accident while using autonomous driving,14
,1.20%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",20
,1.71%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",5
,0.43%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",19
,1.63%
The policy covers liability and medical costs for a driver who does not have a valid license,33
,2.83%
Receive live support from a representative of the policy provider,48
,4.11%
Receive digital chat support from the policy provider,6
,0.51%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 8,
"Q11_11best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",70
,6.00%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",15
,1.29%
You have 30 days to report a new vehicle to your insurance provider,24
,2.06%
You have 7 days to report a new vehicle to your insurance provider,19
,1.63%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",27
,2.31%
The policy covers borrowed vehicles,41
,3.51%
The policy covers up to $200K in damages to a rented car,45
,3.86%
The policy covers up to $100K in damages to a rented car,35
,3.00%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",57
,4.88%
"The policy can include yourself, a spouse, and immediate family members living in your household",80
,6.86%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",41
,3.51%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",50
,4.28%
The policy covers liability and medical costs for a driver in your household who is not on your policy,77
,6.60%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",49
,4.20%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,31
,2.66%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",26
,2.23%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",35
,3.00%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",57
,4.88%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",26
,2.23%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",45
,3.86%
"The policy covers various situations beyond collision (e.g., a fire, theft)",88
,7.54%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,48
,4.11%
The policy covers the cost if you are in an accident while using a phone,16
,1.37%
The policy covers the cost if you are in an accident while using autonomous driving,8
,0.69%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",20
,1.71%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",28
,2.40%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",29
,2.49%
The policy covers liability and medical costs for a driver who does not have a valid license,26
,2.23%
Receive live support from a representative of the policy provider,40
,3.43%
Receive digital chat support from the policy provider,14
,1.20%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 9,
"Q11_12best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",56
,4.80%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",3
,0.26%
You have 30 days to report a new vehicle to your insurance provider,46
,3.94%
You have 7 days to report a new vehicle to your insurance provider,32
,2.74%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",41
,3.51%
The policy covers borrowed vehicles,37
,3.17%
The policy covers up to $200K in damages to a rented car,25
,2.14%
The policy covers up to $100K in damages to a rented car,46
,3.94%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",33
,2.83%
"The policy can include yourself, a spouse, and immediate family members living in your household",73
,6.26%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",52
,4.46%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",74
,6.34%
The policy covers liability and medical costs for a driver in your household who is not on your policy,35
,3.00%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",55
,4.71%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,78
,6.68%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",29
,2.49%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",27
,2.31%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",68
,5.83%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",29
,2.49%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",49
,4.20%
"The policy covers various situations beyond collision (e.g., a fire, theft)",107
,9.17%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,45
,3.86%
The policy covers the cost if you are in an accident while using a phone,13
,1.11%
The policy covers the cost if you are in an accident while using autonomous driving,10
,0.86%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",13
,1.11%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",14
,1.20%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",18
,1.54%
The policy covers liability and medical costs for a driver who does not have a valid license,16
,1.37%
Receive live support from a representative of the policy provider,28
,2.40%
Receive digital chat support from the policy provider,15
,1.29%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 10,
"Q11_13best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",43
,3.68%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",13
,1.11%
You have 30 days to report a new vehicle to your insurance provider,20
,1.71%
You have 7 days to report a new vehicle to your insurance provider,15
,1.29%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",58
,4.97%
The policy covers borrowed vehicles,46
,3.94%
The policy covers up to $200K in damages to a rented car,33
,2.83%
The policy covers up to $100K in damages to a rented car,34
,2.91%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",76
,6.51%
"The policy can include yourself, a spouse, and immediate family members living in your household",76
,6.51%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",46
,3.94%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",51
,4.37%
The policy covers liability and medical costs for a driver in your household who is not on your policy,21
,1.80%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",26
,2.23%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,92
,7.88%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",33
,2.83%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",27
,2.31%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",33
,2.83%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",45
,3.86%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",44
,3.77%
"The policy covers various situations beyond collision (e.g., a fire, theft)",92
,7.88%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,64
,5.48%
The policy covers the cost if you are in an accident while using a phone,31
,2.66%
The policy covers the cost if you are in an accident while using autonomous driving,12
,1.03%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",15
,1.29%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",19
,1.63%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",13
,1.11%
The policy covers liability and medical costs for a driver who does not have a valid license,33
,2.83%
Receive live support from a representative of the policy provider,46
,3.94%
Receive digital chat support from the policy provider,10
,0.86%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 11,
"Q11_14best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",58
,4.97%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",12
,1.03%
You have 30 days to report a new vehicle to your insurance provider,34
,2.91%
You have 7 days to report a new vehicle to your insurance provider,27
,2.31%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",45
,3.86%
The policy covers borrowed vehicles,33
,2.83%
The policy covers up to $200K in damages to a rented car,38
,3.26%
The policy covers up to $100K in damages to a rented car,31
,2.66%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",47
,4.03%
"The policy can include yourself, a spouse, and immediate family members living in your household",84
,7.20%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",33
,2.83%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",82
,7.03%
The policy covers liability and medical costs for a driver in your household who is not on your policy,45
,3.86%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",64
,5.48%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,75
,6.43%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",17
,1.46%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",25
,2.14%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",52
,4.46%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",56
,4.80%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",49
,4.20%
"The policy covers various situations beyond collision (e.g., a fire, theft)",64
,5.48%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,55
,4.71%
The policy covers the cost if you are in an accident while using a phone,14
,1.20%
The policy covers the cost if you are in an accident while using autonomous driving,12
,1.03%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",14
,1.20%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",8
,0.69%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",17
,1.46%
The policy covers liability and medical costs for a driver who does not have a valid license,33
,2.83%
Receive live support from a representative of the policy provider,29
,2.49%
Receive digital chat support from the policy provider,14
,1.20%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 12,
"Q11_15best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",35
,3.00%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",9
,0.77%
You have 30 days to report a new vehicle to your insurance provider,33
,2.83%
You have 7 days to report a new vehicle to your insurance provider,17
,1.46%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",78
,6.68%
The policy covers borrowed vehicles,30
,2.57%
The policy covers up to $200K in damages to a rented car,36
,3.08%
The policy covers up to $100K in damages to a rented car,60
,5.14%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",35
,3.00%
"The policy can include yourself, a spouse, and immediate family members living in your household",59
,5.06%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",74
,6.34%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",44
,3.77%
The policy covers liability and medical costs for a driver in your household who is not on your policy,47
,4.03%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",58
,4.97%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,66
,5.66%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",44
,3.77%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",30
,2.57%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",20
,1.71%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",21
,1.80%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",43
,3.68%
"The policy covers various situations beyond collision (e.g., a fire, theft)",92
,7.88%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,50
,4.28%
The policy covers the cost if you are in an accident while using a phone,15
,1.29%
The policy covers the cost if you are in an accident while using autonomous driving,10
,0.86%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",18
,1.54%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",11
,0.94%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",22
,1.89%
The policy covers liability and medical costs for a driver who does not have a valid license,39
,3.34%
Receive live support from a representative of the policy provider,50
,4.28%
Receive digital chat support from the policy provider,21
,1.80%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 13,
"Q11_1best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",82
,7.03%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",11
,0.94%
You have 30 days to report a new vehicle to your insurance provider,26
,2.23%
You have 7 days to report a new vehicle to your insurance provider,15
,1.29%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",39
,3.34%
The policy covers borrowed vehicles,34
,2.91%
The policy covers up to $200K in damages to a rented car,30
,2.57%
The policy covers up to $100K in damages to a rented car,18
,1.54%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",45
,3.86%
"The policy can include yourself, a spouse, and immediate family members living in your household",45
,3.86%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",44
,3.77%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",57
,4.88%
The policy covers liability and medical costs for a driver in your household who is not on your policy,55
,4.71%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",81
,6.94%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,52
,4.46%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",49
,4.20%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",40
,3.43%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",64
,5.48%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",44
,3.77%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",49
,4.20%
"The policy covers various situations beyond collision (e.g., a fire, theft)",62
,5.31%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,62
,5.31%
The policy covers the cost if you are in an accident while using a phone,26
,2.23%
The policy covers the cost if you are in an accident while using autonomous driving,15
,1.29%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",16
,1.37%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",11
,0.94%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",9
,0.77%
The policy covers liability and medical costs for a driver who does not have a valid license,29
,2.49%
Receive live support from a representative of the policy provider,47
,4.03%
Receive digital chat support from the policy provider,10
,0.86%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 14,
"Q11_2best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",61
,5.23%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",15
,1.29%
You have 30 days to report a new vehicle to your insurance provider,22
,1.89%
You have 7 days to report a new vehicle to your insurance provider,14
,1.20%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",33
,2.83%
The policy covers borrowed vehicles,33
,2.83%
The policy covers up to $200K in damages to a rented car,44
,3.77%
The policy covers up to $100K in damages to a rented car,21
,1.80%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",40
,3.43%
"The policy can include yourself, a spouse, and immediate family members living in your household",78
,6.68%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",44
,3.77%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",37
,3.17%
The policy covers liability and medical costs for a driver in your household who is not on your policy,64
,5.48%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",58
,4.97%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,57
,4.88%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",28
,2.40%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",32
,2.74%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",57
,4.88%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",37
,3.17%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",62
,5.31%
"The policy covers various situations beyond collision (e.g., a fire, theft)",93
,7.97%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,71
,6.08%
The policy covers the cost if you are in an accident while using a phone,21
,1.80%
The policy covers the cost if you are in an accident while using autonomous driving,4
,0.34%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",15
,1.29%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",13
,1.11%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",13
,1.11%
The policy covers liability and medical costs for a driver who does not have a valid license,27
,2.31%
Receive live support from a representative of the policy provider,52
,4.46%
Receive digital chat support from the policy provider,21
,1.80%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 15,
"Q11_3best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",49
,4.20%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",18
,1.54%
You have 30 days to report a new vehicle to your insurance provider,20
,1.71%
You have 7 days to report a new vehicle to your insurance provider,15
,1.29%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",46
,3.94%
The policy covers borrowed vehicles,18
,1.54%
The policy covers up to $200K in damages to a rented car,32
,2.74%
The policy covers up to $100K in damages to a rented car,39
,3.34%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",32
,2.74%
"The policy can include yourself, a spouse, and immediate family members living in your household",102
,8.74%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",46
,3.94%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",57
,4.88%
The policy covers liability and medical costs for a driver in your household who is not on your policy,71
,6.08%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",53
,4.54%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,116
,9.94%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",35
,3.00%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",23
,1.97%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",36
,3.08%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",57
,4.88%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",16
,1.37%
"The policy covers various situations beyond collision (e.g., a fire, theft)",58
,4.97%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,97
,8.31%
The policy covers the cost if you are in an accident while using a phone,19
,1.63%
The policy covers the cost if you are in an accident while using autonomous driving,8
,0.69%
"The policy covers the cost if you are in an accident while transporting something hazardous (e.g., can of gasoline)",18
,1.54%
"The policy covers vehicles you use for business purposes, as long as they are not owned by the business",17
,1.46%
"The policy covers court-ordered payments (e.g., fees for law enforcement to respond to an accident)",12
,1.03%
The policy covers liability and medical costs for a driver who does not have a valid license,26
,2.23%
Receive live support from a representative of the policy provider,22
,1.89%
Receive digital chat support from the policy provider,9
,0.77%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 16,
"Q11_4best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",72
,6.17%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",12
,1.03%
You have 30 days to report a new vehicle to your insurance provider,15
,1.29%
You have 7 days to report a new vehicle to your insurance provider,32
,2.74%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",66
,5.66%
The policy covers borrowed vehicles,38
,3.26%
The policy covers up to $200K in damages to a rented car,37
,3.17%
The policy covers up to $100K in damages to a rented car,50
,4.28%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",40
,3.43%
"The policy can include yourself, a spouse, and immediate family members living in your household",58
,4.97%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",49
,4.20%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",61
,5.23%
The policy covers liability and medical costs for a driver in your household who is not on your policy,38
,3.26%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",86
,7.37%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,42
,3.60%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",23
,1.97%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",42
,3.60%
"For an extra $20 per covered vehicle every 6 months, the policy covers the cost of getting unlimited roadside assistance",33
,2.83%
"For an extra $10 per covered vehicle every 6 months, the policy covers the cost of getting roadside assistance, up to tw",46
,3.94%
"The policy covers the cost of your personal belongings if they are damaged in an accident, up to $250",42
,3.60%
"The policy covers various situations beyond collision (e.g., a fire, theft)",85
,7.28%
The policy covers the cost if someone makes a mistake when repairing or maintaining your car,25
,2.14%
The policy covers the cost if you are in an accident while using a phone,15
,1.29%
The policy covers the cost if you are in an accident while using autonomous driving,19
,1.63%
